id_recorrido,duracion_recorrido,fecha_origen_recorrido,id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,long_estacion_origen,lat_estacion_origen,fecha_destino_recorrido,id_estacion_destino,nombre_estacion_destino,direccion_estacion_destino,long_estacion_destino,lat_estacion_destino,id_usuario,modelo_bicicleta
7738167BAEcobici,934,2020-05-18 22:01:48 UTC,95BAEcobici,095 - ESMERALDA,ESMERALDA 516,-58.3781678,-34.6021121,2020-05-18 22:17:22 UTC,144BAEcobici,144 - PUEYRREDÓN,684 Boulogne Sur Mer & Tucuman,-58.4060944,-34.6018744,146277BAEcobici,ICONIC
7737313BAEcobici,1760,2020-05-18 15:02:59 UTC,7BAEcobici,007 - OBELISCO,CARLOS PELEGRINI 215,-58.381098,-34.606498,2020-05-18 15:32:19 UTC,172BAEcobici,172 - BRASIL,BRASIL&DEFENSA,-58.371082,-34.625426,665807BAEcobici,ICONIC
7737004BAEcobici,2240,2020-05-18 13:05:51 UTC,165BAEcobici,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera,-58.407614,-34.597048,2020-05-18 13:43:11 UTC,229BAEcobici,243 - PLAZOLETA CELEDONIO FLORES,Cordoba 6599,-58.45153,-34.581576,665808BAEcobici,ICONIC
7737867BAEcobici,1499,2020-05-18 18:21:34 UTC,101BAEcobici,101 - Fitz Roy,Fitz Roy  1092 & Loyola,-58.4424397,-34.5891857,2020-05-18 18:46:33 UTC,165BAEcobici,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera,-58.407614,-34.597048,665808BAEcobici,ICONIC
7737111BAEcobici,1554,2020-05-18 13:47:27 UTC,135BAEcobici,135 - MARCELO T. DE ALVEAR,902 Esmeralda,-58.3787856,-34.5972818,2020-05-18 14:13:21 UTC,63BAEcobici,063 - Reconquista,Reconquista & Cordoba Av.,-58.373062,-34.5986,439017BAEcobici,ICONIC
7737256BAEcobici,605,2020-05-18 14:44:07 UTC,26BAEcobici,026 - JUANA MANSO I,"Manso Juana & De La Barra, Emma",-58.3638723,-34.600752,2020-05-18 14:54:12 UTC,130BAEcobici,130 - RETIRO II,"Ramos Mejia, Av Dr Jose Maria & Av. Del Libertador",-58.3745419,-34.5921056,444482BAEcobici,ICONIC
7737161BAEcobici,2110,2020-05-18 14:05:29 UTC,164BAEcobici,164 - FACULTAD DE INGENIERIA,Estados Unidos 21,-58.3669021,-34.6181442,2020-05-18 14:40:39 UTC,85BAEcobici,085 - AGUERO,"Aguero & Mansilla, Lucio Norberto, General",-58.4091784,-34.5948057,188750BAEcobici,ICONIC
7737900BAEcobici,2489,2020-05-18 18:32:27 UTC,361BAEcobici,258 - Plaza J.J. Paso,1399 Moldes,-58.453608,-34.569187,2020-05-18 19:13:56 UTC,436BAEcobici,253 - Plaza Colegiales,Matienzo y freire,-58.4450299,-34.5782972,388239BAEcobici,ICONIC
7736420BAEcobici,553,2020-05-18 07:55:22 UTC,89BAEcobici,089 - Cabello,3082 Cabello,-58.4056671,-34.5825475,2020-05-18 08:04:35 UTC,116BAEcobici,116 - HOSPITAL ALEMÁN,Beruti & Ecuador,-58.4025894,-34.5921708,31899BAEcobici,ICONIC
7737487BAEcobici,570,2020-05-18 16:06:15 UTC,85BAEcobici,085 - AGUERO,"Aguero & Mansilla, Lucio Norberto, General",-58.4091784,-34.5948057,2020-05-18 16:15:45 UTC,70BAEcobici,070 - ARAOZ,1413 Araoz & Gorriti CABA,-58.4260597,-34.5926862,63834BAEcobici,ICONIC
7736188BAEcobici,531,2020-05-18 00:52:15 UTC,118BAEcobici,118 - MEXICO,Saavedra & Mexico,-58.4026531,-34.6170196,2020-05-18 01:01:06 UTC,183BAEcobici,183 - VIRREY CEVALLOS,Mexico 1652,-58.3899728,-34.6156994,411490BAEcobici,ICONIC
7736549BAEcobici,2443,2020-05-18 08:54:10 UTC,13BAEcobici,013 - ONCE,Av. Pueyrredon & Av. Rivadavia,-58.406,-34.61009,2020-05-18 09:34:53 UTC,299BAEcobici,221 - CULPINA,Culpina 121,-58.466143,-34.631705,665822BAEcobici,ICONIC
7737773BAEcobici,1948,2020-05-18 17:47:50 UTC,271BAEcobici,365 - Venancio Flores,"Argerich & Flores, Venancio, Gral.",-58.473844,-34.630108,2020-05-18 18:20:18 UTC,75BAEcobici,075 - Plaza Primero de Mayo,238 Pichincha,-58.3989871,-34.6122976,665822BAEcobici,ICONIC
