long;lat;id;nombre;anio_de_in;tipo;cantidad;ubicacion;clasificac;calle;altura;calle2;barrio;comuna;codigo_postal;codigo_postal_argentino
-58,50152647;-34,59964425;301;NEXTEL;2013;4U;1;VIA PUBLICA;EMPRESA AMIGA;BEIRO, FRANCISCO AV.;3456;;Villa Del Parque;Comuna 11;1419;C1419HYV
-58,4455405;-34,62428258;302;CHUNGO;2013;4U;1;VIA PUBLICA;EMPRESA AMIGA;ALBERDI, JUAN BAUTISTA AV.;1250;;Caballito;Comuna 6;1406;C1406GRO
-58,45766607;-34,56071012;303;CHUNGO;2013;4U;1;VIA PUBLICA;EMPRESA AMIGA;CABILDO AV.;2231;;Belgrano;Comuna 13;1428;C1428AAE
-58,44126236;-34,57166385;304;NEXTEL;2013;4U;1;VIA PUBLICA;EMPRESA AMIGA;CABILDO AV.;451;;Palermo;Comuna 14;1426;C1426AAE
-58,43367758;-34,58322548;305;CHUNGO;2013;4U;1;VIA PUBLICA;EMPRESA AMIGA;HUMBOLDT;1906;;Palermo;Comuna 14;1414;C1414CTV
-58,42078331;-34,60099019;306;NEXTEL;2013;4U;1;VIA PUBLICA;EMPRESA AMIGA;MEDRANO AV.;780;;Almagro;Comuna 5;1179;C1179AAN
-58,39223042;-34,63820608;307;LABORATORIO BRITANIA;2013;4U;1;VIA PUBLICA;EMPRESA AMIGA;LOS PATOS;2175;;Parque Patricios;Comuna 4;1283;C1283ABI
-58,40985102;-34,62915497;308;ESC. PRIMARIA COMUN N° 07 OLEGARIO VICTOR ANDRADE;2018;1;4;VIA PUBLICA;Universidades - Colegios;24 DE NOVIEMBRE;1536;;San Cristobal;Comuna 3;1242;C1242AAH
-58,45494571;-34,55589097;309;ESC. NORMAL SUPERIOR N° 10 JUAN BAUTISTA ALBERDI (ANEXO);2013;4U;1;VIA PUBLICA;ESCUELAS;3 DE FEBRERO;2463;;Belgrano;Comuna 13;1428;C1428AHM
-58,51111673;-34,64631497;310;ESC. DE COMERCIO N° 32 JOSE LEON SUAREZ (ANEXO);2013;4U;1;VIA PUBLICA;ESCUELAS;ACASSUSO;6138;;Liniers;Comuna 9;1408;C1408FDV
-58,44380897;-34,58910804;311;ESC. TECNICA N° 34 ING. ENRIQUE MARTIN HERMITTE;2013;4U;1;VIA PUBLICA;ESCUELAS;AGUIRRE;1473;;Chacarita;Comuna 15;1414;C1414ATC
-58,43282143;-34,64813894;312;ESCUELA MEDIA N°3;2013;4U;1;VIA PUBLICA;ESCUELAS;VEDIA, AGUSTIN DE;2519;;Flores;Comuna 7;1437;C1437ANK
-58,48824606;-34,65666214;313;ESC. PRIMARIA COMUN N° 19 CAJA NACIONAL DE AHORRO Y SEGURO;2013;4U;1;VIA PUBLICA;ESCUELAS;ALBARIÑO;2062;;Mataderos;Comuna 9;;
-58,50375058;-34,62943535;315;ESC. DE DANZAS N° 02 JORGE DONN;2013;4U;1;INTERIOR;ESCUELAS;MAGARIÑOS CERVANTES, A.;5068;;Velez Sarsfield;Comuna 10;;
-58,43501476;-34,57978433;316;ESC. DE COMERCIO N° 31 NACIONES UNIDAS;2013;4U;1;INTERIOR;ESCUELAS;CARRANZA, ANGEL JUSTINIANO;2045;;Palermo;Comuna 14;1414;C1414COY
-58,48030431;-34,67750295;317;ESC. DE COMERCIO N° 12 JUAN XXIII;2013;4U;1;INTERIOR;ESCUELAS;AQUINO;6040;;Villa Lugano;Comuna 8;1439;C1439AEF
-58,38004578;-34,64127362;318;LICEO N°3 / ESC NORMAL SUP. N°5;2013;4U;1;INTERIOR;ESCUELAS;ARCAMENDIA;743;;Barracas;Comuna 4;1274;C1274AAC
-58,51017763;-34,57949671;319;ESC. DE EDUCACION MEDIA N° 01/16° RODOLFO WALSH;2013;4U;1;VIA PUBLICA;ESCUELAS;ARGERICH;5651;;Villa Pueyrredon;Comuna 12;1419;C1419DCC
-58,46712733;-34,622675;320;CFP N° 24;2013;4U;1;INTERIOR;ESCUELAS;ARTIGAS, JOSE GERVASIO, GRAL.;690;;Flores;Comuna 7;1406;C1406ABJ
-58,39288637;-34,63479337;321;ESC. PRIMARIA COMUN N° 18 JUAN ENRIQUE PESTALOZZI;2013;4U;1;VIA PUBLICA;ESCUELAS;CASEROS AV.;2152;;Parque Patricios;Comuna 4;1264;C1264AAO
-58,42157243;-34,63996911;322;ESC. PRIMARIA COMUN N° 05 PROVINCIA DE CORRIENTES;2013;4U;1;VIA PUBLICA;ESCUELAS;CASEROS AV.;4050;;Nueva Pompeya;Comuna 4;1263;C1263AAW
-58,40554326;-34,61299287;323;ESC. TECNICA N° 26 CONFEDERACION SUIZA;2017;1U;8;VIA PUBLICA;ESCUELAS;JUJUY AV.;255;;Balvanera;Comuna 3;1083;C1083AAC
-58,37721959;-34,63004321;324;ESC. TECNICA N° 04 REPUBLICA DEL LIBANO;2013;4U;1;VIA PUBLICA;ESCUELAS;MONTES DE OCA, MANUEL AV.;121;;Barracas;Comuna 4;1270;C1270AAB
-58,40591572;-34,592859;325;LICEO N° 01 JOSE FIGUEROA ALCORTA;2013;4U;1;VIA PUBLICA;ESCUELAS;SANTA FE AV.;2778;;Recoleta;Comuna 2;1425;C1425BGP
